ID,T1,T2,rep,start_date,death_date,days_to_death,OC_inf,OC_spores,HT_inf,HT_spores,total_offspring
1,OC,N,1,25/01/2022,27/02/2022,33,1,26,,,108
2,OC,N,2,25/01/2022,01/03/2022,35,1,22,,,
3,OC,N,3,25/01/2022,27/02/2022,33,1,32,,,162
4,OC,N,4,25/01/2022,26/02/2022,32,1,261,,,118
5,OC,N,5,25/01/2022,04/03/2022,38,1,1063,,,
6,OC,N,6,25/01/2022,28/04/2022,93,1,178,,,
7,HT,N,1,25/01/2022,10/04/2022,75,,,1,877000,
8,HT,N,2,25/01/2022,02/03/2022,36,,,1,21000,
9,HT,N,3,25/01/2022,28/04/2022,93,,,0,,
10,HT,N,4,25/01/2022,23/03/2022,57,,,1,2115000,
11,HT,N,5,25/01/2022,01/04/2022,66,,,1,1393000,
12,HT,N,6,25/01/2022,06/04/2022,71,,,1,581000,
13,N,OC,1,25/01/2022,16/05/2022,111,1,752,,,
14,N,OC,2,25/01/2022,02/03/2022,36,1,770,,,
15,N,OC,3,25/01/2022,15/03/2022,49,1,1064,,,
16,N,OC,4,25/01/2022,14/05/2022,109,1,713,,,
17,N,OC,5,25/01/2022,07/03/2022,41,1,9,,,
18,N,OC,6,25/01/2022,15/03/2022,49,1,242,,,
19,N,HT,1,25/01/2022,14/04/2022,79,,,0,,
20,N,HT,2,25/01/2022,21/04/2022,86,,,0,,
21,N,HT,3,25/01/2022,10/05/2022,105,,,0,,
22,N,HT,4,25/01/2022,03/04/2022,68,,,0,,
23,N,HT,5,25/01/2022,06/05/2022,101,,,0,,
24,N,HT,6,25/01/2022,11/04/2022,76,,,1,8535000,
25,N,N,1,25/01/2022,12/03/2022,46,,,,,
26,N,N,2,25/01/2022,30/04/2022,95,,,,,
27,N,N,3,25/01/2022,10/05/2022,105,,,,,
28,OC,HT,1,25/01/2022,09/03/2022,43,1,89,0,,173
29,OC,HT,2,25/01/2022,06/03/2022,40,1,317,0,,162
30,OC,HT,3,25/01/2022,23/02/2022,29,1,185,1,7000,118
31,OC,HT,4,25/01/2022,26/02/2022,32,1,,0,,115
32,OC,HT,5,25/01/2022,22/04/2022,87,1,545,1,7145000,166
33,OC,HT,6,25/01/2022,23/02/2022,29,1,1049,1,9000,116
34,HT,OC,1,25/01/2022,03/03/2022,37,1,341,1,72000,184
35,HT,OC,2,25/01/2022,03/03/2022,37,1,765,1,44000,201
36,HT,OC,3,25/01/2022,15/03/2022,49,1,30,0,,
37,HT,OC,4,25/01/2022,08/03/2022,42,1,20,0,,181
38,HT,OC,5,25/01/2022,04/03/2022,38,1,561,1,17000,175
39,HT,OC,6,25/01/2022,25/02/2022,31,1,,1,13000,162
